CookerStat, GenerateAssetRegistry=0.019621, Initialize=0.109583, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_457D343846F2DA65199D82980DDDCFE8__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=459, Duration=17.198954, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98B26F4843FBA0FDD800559553FAD5A0__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=347, Duration=5.579833, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4C062CFF4EE813FDDE501F8758FD3DC1__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=1918, Duration=28.939129, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0F3479EC49E33D6044E7ED98B6537E34__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=509, Duration=11.596482, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C1103D42406E2D4F5B666A9949540C22__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=803, Duration=3.151562, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B7D464F847FF32B6A50CC19287AD283B__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=1651, Duration=12.433271, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_499E6F9A49921EAF704E7C8367DEE2B1__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=701, Duration=14.278930, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C23D80FB4E85E73D96DD97B6FA95325A__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=449, Duration=5.158722, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F244A114DB52ED01613C8A5A5DA94BD__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=499, Duration=23.253336, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_56A1EE88414AA56DA2011F93A05FF8AB__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=347, Duration=4.147142, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_73713F1C45C2E94E58E912B4DB0F8C71__1_0_13123_0, StartTime=2016.05.03-15.13.33, HierarchicalDDC=, DataSize=347, Duration=4.049636, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B835E19E4CB928D4DADFC7B06515866D__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=347, Duration=1.593288, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA5C18304F243FCF0FCB63BD1D8CD06B__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=347, Duration=1.458351, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9BBA7338422082BA73BD7988F7BDCAB7__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=447, Duration=1.477975, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E0549B384DFAA23A2080B085D54C9852__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=347, Duration=1.622569, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5B54171415C374F08B0FF8644D998DE__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=511, Duration=2.235677, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36F774404A9234F1017F548D82E9252C__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=3159, Duration=1.423940, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD170EEA4BD62B8C7005D1A66D57934B__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=2042, Duration=1.530800, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F9B6232B414008C8F39D218039D3D034__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=1405, Duration=1.435712, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9125010D4AB63E927D53428E2AFFCDF6__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=2073, Duration=1.628909, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C226300B4FA19374072046ADC2680B1F__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=651, Duration=1.436919, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8D8763E743633D7E91B0CA8E1ACE0137__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=499, Duration=12.704056, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99CAF7C4454E55DA9A82808B73788987__1_0_13123_0, StartTime=2016.05.03-15.13.36, HierarchicalDDC=, DataSize=347, Duration=1.177609, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
